"tag","template","param1"
"250163574173","volumio-play","Chip001"
"211166126136","shutdown","Chip002"
"4194235226126","volumio-play","Karte001"
"321311423179","volumio-play","Karte002"
"21115313879","volumio-play","Karte003"
"31536210174","volumio-play","Karte004"
"35222978148","volumio-play","Karte005"
"3109158105","volumio-play","Karte006"
"672361108201","volumio-play","Karte007"
"227456610134","volumio-play","Karte008"
"21133938167","volumio-play","Karte009"
"11549548124","volumio-play","Karte010"
"243489510150","volumio-play","Karte011"
"67182148243","volumio-play","Karte012"
"1472291518233","volumio-play","Karte013"
"324210710144","volumio-play","Karte014"
"672072547117","volumio-play","Karte015"
"131118148243","volumio-play","Karte016"
"2271801758240","volumio-play","Karte017"
"131613887","volumio-play","Karte018"
"8389621062","volumio-play","Karte019"
"21125114210172","volumio-play","Karte020"
"19331021094","volumio-play","Karte021"
"1799598137","volumio-play","Karte022"
"1791502389194","volumio-play","Karte023"
"1791799610106","volumio-play","Karte024"
"179202711052","volumio-play","Karte025"
"19234182871","volumio-play","Karte026"
"19517213510226","volumio-play","Karte027"
"195211810189","volumio-play","Karte028"
"243982429106","volumio-play","Karte029"
"211212461035","volumio-play","Karte030"
"51144885","volumio-play","Karte031"
"1476166958","volumio-play","Karte032"
"3281668177","volumio-play","Karte033"
"19574140813","volumio-play","Karte034"
"21118892859","volumio-play","Karte035"
"67187219942","volumio-play","Karte036"
"672021148243","volumio-play","Karte037"
"16335978233","volumio-play","Karte038"
"22723316818","volumio-play","Karte039"
"11550161091","volumio-play","Karte040"
"19821598214","volumio-play","Karte041"
"227489510134","volumio-play","Karte042"
"195191738117","volumio-play","Karte043"
"51154244984","volumio-play","Karte044"
"1472501659197","volumio-play","Karte045"
"35196948177","volumio-play","Karte046"
"163771310233","volumio-play","Karte047"
"67120451028","volumio-play","Karte048"
"991466610185","volumio-play","Karte049"
"99251137825","volumio-play","Karte050"
"179127129869","volumio-play","Karte051"
"211109234993","volumio-play","Karte052"
